,ID,CREATED_DATE,BIRTH_DATE,STATE,LANGUAGE,GENDER,RECEIPT_ID,PURCHASE_DATE,SCAN_DATE,STORE_NAME,USER_ID,BARCODE,FINAL_QUANTITY,FINAL_SALE,FINAL_QUANTITY_NUMERIC,FINAL_SALE_NUMERIC,BARCODE_str,AGE_WHEN_CREATION,PURCHASE_DATE_CT,AGE_WHEN_PURCHASING,AGE_WHEN_PURCHASING_MO,TIME_AS_USER_WHEN_PURCHASING,TIME_AS_USER_WHEN_PURCHASING_MO
239,5ca54049adfcb4140b54e1bf,2019-04-03 23:22:49+00:00,1990-06-14 04:00:00+00:00,NC,en,female,b4b2cfc1-8f57-41e6-825c-d7958ef49384,2024-08-05,2024-08-05 14:31:52.497 Z,FOOD LION,5ca54049adfcb4140b54e1bf,311111128836.0,1.00,5.99,1.0,5.99,311111128836.0,28.0,2024-08-05 00:00:00+00:00,34.0,409.0,5.0,64.0
240,63faaa3e38f010745ba05f9f,2023-02-26 00:39:26+00:00,1980-10-24 00:00:00+00:00,PA,en,female,6a4bcdd5-7469-45cb-8e32-a1f744ee3ab9,2024-07-09,2024-07-11 13:31:13.819 Z,ALDI,63faaa3e38f010745ba05f9f,,zero,1.75,0.0,1.75,nan,42.0,2024-07-09 00:00:00+00:00,43.0,524.0,1.0,16.0
241,63faaa3e38f010745ba05f9f,2023-02-26 00:39:26+00:00,1980-10-24 00:00:00+00:00,PA,en,female,6a4bcdd5-7469-45cb-8e32-a1f744ee3ab9,2024-07-09,2024-07-11 13:31:13.819 Z,ALDI,63faaa3e38f010745ba05f9f,,1.00,1.75,1.0,1.75,nan,42.0,2024-07-09 00:00:00+00:00,43.0,524.0,1.0,16.0
242,606df2882b317d709de67809,2021-04-07 17:57:28+00:00,1966-09-03 00:00:00+00:00,CO,en,female,e89763df-a88a-476c-b903-6520599806e5,2024-08-31,2024-09-04 14:55:56.503 Z,SAFEWAY,606df2882b317d709de67809,40000424314.0,zero,1.25,0.0,1.25,40000424314.0,54.0,2024-08-31 00:00:00+00:00,57.0,695.0,3.0,40.0
243,606df2882b317d709de67809,2021-04-07 17:57:28+00:00,1966-09-03 00:00:00+00:00,CO,en,female,e89763df-a88a-476c-b903-6520599806e5,2024-08-31,2024-09-04 14:55:56.503 Z,SAFEWAY,606df2882b317d709de67809,40000424314.0,1.00,1.25,1.0,1.25,40000424314.0,54.0,2024-08-31 00:00:00+00:00,57.0,695.0,3.0,40.0
244,664794617c0469953bf8932c,2024-05-17 17:31:13+00:00,1949-06-09 00:00:00+00:00,OR,es-419,female,59df1c4c-ade1-4a77-97eb-e731bec19fed,2024-07-25,2024-07-26 19:50:38.133 Z,WALMART,664794617c0469953bf8932c,33383664002.0,zero,1.22,0.0,1.22,33383664002.0,74.0,2024-07-25 00:00:00+00:00,75.0,901.0,0.0,2.0
245,664794617c0469953bf8932c,2024-05-17 17:31:13+00:00,1949-06-09 00:00:00+00:00,OR,es-419,female,59df1c4c-ade1-4a77-97eb-e731bec19fed,2024-07-25,2024-07-26 19:50:38.133 Z,WALMART,664794617c0469953bf8932c,41449001869.0,1.00, ,1.0,,41449001869.0,74.0,2024-07-25 00:00:00+00:00,75.0,901.0,0.0,2.0
246,664794617c0469953bf8932c,2024-05-17 17:31:13+00:00,1949-06-09 00:00:00+00:00,OR,es-419,female,59df1c4c-ade1-4a77-97eb-e731bec19fed,2024-07-25,2024-07-26 19:50:38.133 Z,WALMART,664794617c0469953bf8932c,33383664002.0,1.00,1.22,1.0,1.22,33383664002.0,74.0,2024-07-25 00:00:00+00:00,75.0,901.0,0.0,2.0
247,664794617c0469953bf8932c,2024-05-17 17:31:13+00:00,1949-06-09 00:00:00+00:00,OR,es-419,female,59df1c4c-ade1-4a77-97eb-e731bec19fed,2024-07-25,2024-07-26 19:50:38.133 Z,WALMART,664794617c0469953bf8932c,41449001869.0,1.00,1.86,1.0,1.86,41449001869.0,74.0,2024-07-25 00:00:00+00:00,75.0,901.0,0.0,2.0
248,65ff60725a33935f1ed9176c,2024-03-23 23:06:26+00:00,1960-12-23 06:00:00+00:00,LA,en,female,b5299da9-5807-4233-91d4-b3b7a9bc09e8,2024-07-28,2024-07-30 12:12:35.517 Z,TARGET,65ff60725a33935f1ed9176c,16000476738.0,zero,2.99,0.0,2.99,16000476738.0,63.0,2024-07-28 00:00:00+00:00,63.0,763.0,0.0,4.0
249,65ff60725a33935f1ed9176c,2024-03-23 23:06:26+00:00,1960-12-23 06:00:00+00:00,LA,en,female,b5299da9-5807-4233-91d4-b3b7a9bc09e8,2024-07-28,2024-07-30 12:12:35.517 Z,TARGET,65ff60725a33935f1ed9176c,16000476738.0,1.00,2.99,1.0,2.99,16000476738.0,63.0,2024-07-28 00:00:00+00:00,63.0,763.0,0.0,4.0
250,6430566d44f22b2ce43094cc,2023-04-07 17:44:13+00:00,1966-01-13 06:00:00+00:00,KY,en,female,fc0de804-3bcb-4a47-ae7d-59e95a182ee9,2024-08-24,2024-08-25 18:00:34.169 Z,IGA,6430566d44f22b2ce43094cc,70200857278.0,1.00, ,1.0,,70200857278.0,57.0,2024-08-24 00:00:00+00:00,58.0,703.0,1.0,16.0
251,6430566d44f22b2ce43094cc,2023-04-07 17:44:13+00:00,1966-01-13 06:00:00+00:00,KY,en,female,fc0de804-3bcb-4a47-ae7d-59e95a182ee9,2024-08-24,2024-08-25 18:00:34.169 Z,IGA,6430566d44f22b2ce43094cc,70200857278.0,1.00,5.99,1.0,5.99,70200857278.0,57.0,2024-08-24 00:00:00+00:00,58.0,703.0,1.0,16.0
252,62fd767c30b23c82199243ad,2022-08-17 23:15:08+00:00,1975-09-14 00:00:00+00:00,IL,en,female,e9d62d97-1879-40ab-b9c9-470418fee36f,2024-07-11,2024-07-11 18:10:58.995 Z,WALMART,62fd767c30b23c82199243ad,27000388150.0,1.00, ,1.0,,27000388150.0,46.0,2024-07-11 00:00:00+00:00,48.0,585.0,1.0,22.0
253,62fd767c30b23c82199243ad,2022-08-17 23:15:08+00:00,1975-09-14 00:00:00+00:00,IL,en,female,e9d62d97-1879-40ab-b9c9-470418fee36f,2024-07-11,2024-07-11 18:10:58.995 Z,WALMART,62fd767c30b23c82199243ad,27000388150.0,1.00,0.97,1.0,0.97,27000388150.0,46.0,2024-07-11 00:00:00+00:00,48.0,585.0,1.0,22.0
254,5db8d533b68dbf3bc986f289,2019-10-30 00:11:31+00:00,1970-06-28 00:00:00+00:00,FL,en,female,3dee9e30-8a8e-4b1f-9d06-b9bfdbfac5d4,2024-09-02,2024-09-02 11:23:24.683 Z,WALMART,5db8d533b68dbf3bc986f289,78742037011.0,zero,0.98,0.0,0.98,78742037011.0,49.0,2024-09-02 00:00:00+00:00,54.0,650.0,4.0,58.0
